"station","num_bikes"
"10",410
"11",31
"12",41
"13",34
"14",4
"15",8
"16",48
"17",61
"18",42
"19",7
"21",45
"22",54
"23",46
"4",41
"5",48
"6",14
"7",25
"8",19
"9",22
