"station","num_bikes"
"10",0
"11",0
"12",5
"13",0
"14",0
"15",0
"16",12
"17",25
"18",6
"19",0
"21",8
"22",18
"23",10
"4",5
"5",11
"6",0
"7",0
"8",0
"9",0
